range_index,start_timestamp,end_timestamp,duration_ns,sm__inst_executed_realtime.sum.per_cycle_active,sm__cycles_active.sum,l1tex__t_bytes.sum,sm__inst_executed_realtime.sum,dram__bytes.sum,dram__cycles_active.sum
0,1765294535255363935,1765294535863341307,607977372,0.000000,0.000000,0.000000,0.000000,87184896.000000,10898112.000000
1,1765294535863341307,1765294535879878795,16537488,0.000000,0.000000,0.000000,0.000000,7575296.000000,946912.000000
2,1765294535879878795,1765294535888908849,9030054,0.000000,0.000000,0.000000,0.000000,4004352.000000,500544.000000
3,1765294535888908849,1765294535903725990,14817141,0.000000,0.000000,0.000000,0.000000,7692032.000000,961504.000000
4,1765294535903725990,1765294535923633517,19907527,0.000000,0.000000,0.000000,0.000000,7379968.000000,922496.000000
5,1765294535923633517,1765294535942251287,18617770,0.000000,0.000000,0.000000,0.000000,4067072.000000,508384.000000
6,1765294535942251287,1765294535959591876,17340589,0.000000,0.000000,0.000000,0.000000,7622400.000000,952800.000000
7,1765294535959591876,1765294535978493101,18901225,0.000000,0.000000,0.000000,0.000000,7626240.000000,953280.000000
8,1765294535978493101,1765294535987390612,8897511,0.000000,0.000000,0.000000,0.000000,4012544.000000,501568.000000
9,1765294535987390612,1765294536003810020,16419408,0.000000,0.000000,0.000000,0.000000,7674880.000000,959360.000000
10,1765294536003810020,1765294536022057071,18247051,0.000000,0.000000,0.000000,0.000000,3843584.000000,480448.000000
11,1765294536022057071,1765294536041018296,18961225,0.000000,0.000000,0.000000,0.000000,7664128.000000,958016.000000
12,1765294536041018296,1765294536060050657,19032361,0.000000,0.000000,0.000000,0.000000,7666176.000000,958272.000000
13,1765294536060050657,1765294536069121191,9070534,2.710502,32254546.000000,33301536.000000,2914200.000000,17139712.000000,2142464.000000
14,1765294536069121191,1765294536075939891,6818700,1.887310,25662174.000000,24984832.000000,1614416.000000,19684608.000000,2460576.000000
15,1765294536075939891,1765294536081801154,5861263,2.288220,44103836.000000,41691328.000000,3363976.000000,17919232.000000,2239904.000000
16,1765294536081801154,1765294536089107021,7305867,5.163816,5326921.000000,15535968.000000,916908.000000,17360640.000000,2170080.000000
17,1765294536089107021,1765294536102933317,13826296,0.000000,0.000000,0.000000,0.000000,4531712.000000,566464.000000
18,1765294536102933317,1765294536122200237,19266920,0.000000,0.000000,0.000000,0.000000,1960704.000000,245088.000000
19,1765294536122200237,1765294536141522293,19322056,0.000000,0.000000,0.000000,0.000000,1892864.000000,236608.000000
20,1765294536141522293,1765294536160965372,19443079,0.000000,0.000000,0.000000,0.000000,1894656.000000,236832.000000
21,1765294536160965372,1765294536179124648,18159276,0.000000,0.000000,0.000000,0.000000,1924352.000000,240544.000000
22,1765294536179124648,1765294536193277119,14152471,0.000000,0.000000,0.000000,0.000000,1534720.000000,191840.000000
23,1765294536193277119,1765294536206128697,12851578,0.000000,0.000000,0.000000,0.000000,2549248.000000,318656.000000
24,1765294536206128697,1765294536223489831,17361134,0.000000,0.000000,0.000000,0.000000,2035200.000000,254400.000000
25,1765294536223489831,1765294536242581072,19091241,0.000000,0.000000,0.000000,0.000000,1607424.000000,200928.000000
26,1765294536242581072,1765294536260798139,18217067,0.000000,0.000000,0.000000,0.000000,2430464.000000,303808.000000
27,1765294536260798139,1765294536278635271,17837132,0.000000,0.000000,0.000000,0.000000,2441728.000000,305216.000000
28,1765294536278635271,1765294536286487440,7852169,0.000000,0.000000,0.000000,0.000000,1761792.000000,220224.000000
29,1765294536286487440,1765294536301106342,14618902,0.000000,0.000000,0.000000,0.000000,1607936.000000,200992.000000
30,1765294536301106342,1765294536318833746,17727404,0.000000,0.000000,0.000000,0.000000,2992640.000000,374080.000000
31,1765294536318833746,1765294536338408186,19574440,0.000000,0.000000,0.000000,0.000000,2971136.000000,371392.000000
32,1765294536338408186,1765294536355301257,16893071,0.000000,0.000000,0.000000,0.000000,2975488.000000,371936.000000
33,1765294536355301257,1765294536373678483,18377226,0.000000,0.000000,0.000000,0.000000,2971904.000000,371488.000000
34,1765294536373678483,1765294536384554164,10875681,0.000000,0.000000,0.000000,0.000000,1686016.000000,210752.000000
0,1765294536384554164,1765294536400515334,15961170,0.000000,0.000000,0.000000,0.000000,1856512.000000,232064.000000
1,1765294536400515334,1765294536419337551,18822217,0.000000,0.000000,0.000000,0.000000,3391488.000000,423936.000000
2,1765294536419337551,1765294536438806519,19468968,0.000000,0.000000,0.000000,0.000000,3378944.000000,422368.000000
3,1765294536438806519,1765294536458423294,19616775,0.000000,0.000000,0.000000,0.000000,3377152.000000,422144.000000
4,1765294536458423294,1765294536476388362,17965068,0.000000,0.000000,0.000000,0.000000,3392768.000000,424096.000000
5,1765294536476388362,1765294536485397263,9008901,0.000000,0.000000,0.000000,0.000000,1935104.000000,241888.000000
6,1765294536485397263,1765294536500583652,15186389,0.000000,0.000000,0.000000,0.000000,2036224.000000,254528.000000
7,1765294536500583652,1765294536520787529,20203877,0.000000,0.000000,0.000000,0.000000,3753984.000000,469248.000000
8,1765294536520787529,1765294536541393869,20606340,0.000000,0.000000,0.000000,0.000000,3747840.000000,468480.000000
9,1765294536541393869,1765294536563418125,22024256,0.000000,0.000000,0.000000,0.000000,3743232.000000,467904.000000
10,1765294536563418125,1765294536582847285,19429160,0.000000,0.000000,0.000000,0.000000,3764480.000000,470560.000000
11,1765294536582847285,1765294536602215421,19368136,0.000000,0.000000,0.000000,0.000000,4183808.000000,522976.000000
12,1765294536602215421,1765294536621325701,19110280,0.000000,0.000000,0.000000,0.000000,4001536.000000,500192.000000
13,1765294536621325701,1765294536644170499,22844798,0.000000,0.000000,0.000000,0.000000,5996032.000000,749504.000000
14,1765294536644170499,1765294536673272271,29101772,0.000000,0.000000,0.000000,0.000000,4016128.000000,502016.000000
15,1765294536673272271,1765294536685041901,11769630,0.000000,0.000000,0.000000,0.000000,4112384.000000,514048.000000
16,1765294536685041901,1765294536703994646,18952745,0.000000,0.000000,0.000000,0.000000,4378624.000000,547328.000000
17,1765294536703994646,1765294536721066308,17071662,0.000000,0.000000,0.000000,0.000000,2128128.000000,266016.000000
18,1765294536721066308,1765294536730668584,9602276,2.176587,46682130.000000,41911424.000000,3386924.000000,21534720.000000,2691840.000000
19,1765294536730668584,1765294536742366054,11697470,2.656644,10353994.000000,15535968.000000,916896.000000,12530176.000000,1566272.000000
20,1765294536742366054,1765294536752416553,10050499,1.527929,83709925.000000,57152576.000000,4263428.000000,35207936.000000,4400992.000000
21,1765294536752416553,1765294536757722874,5306321,1.632447,78350252.000000,57152576.000000,4263420.000000,33518848.000000,4189856.000000
22,1765294536757722874,1765294536763908360,6185486,1.511647,66414389.000000,41616608.000000,3346504.000000,31219456.000000,3902432.000000
23,1765294536763908360,1765294536772728814,8820454,2.930425,9386733.000000,15535968.000000,916904.000000,8846080.000000,1105760.000000
24,1765294536772728814,1765294536778173406,5444592,2.126129,60157447.000000,57152576.000000,4263416.000000,31973632.000000,3996704.000000
25,1765294536778173406,1765294536784636940,6463534,2.150205,54149713.000000,50769408.000000,3881100.000000,30539008.000000,3817376.000000
26,1765294536784636940,1765294536792189046,7552106,1.801562,6366676.000000,6383168.000000,382332.000000,4235008.000000,529376.000000
27,1765294536792189046,1765294536797510950,5321904,1.748836,73135923.000000,57152576.000000,4263424.000000,33464320.000000,4183040.000000
28,1765294536797510950,1765294536804249395,6738445,1.568311,64015048.000000,41616608.000000,3346516.000000,28088320.000000,3511040.000000
29,1765294536804249395,1765294536814623925,10374530,1.862552,83439183.000000,72688544.000000,5180328.000000,39189504.000000,4898688.000000
30,1765294536814623925,1765294536823590203,8966278,1.816309,46214534.000000,33763072.000000,2797996.000000,21826048.000000,2728256.000000
31,1765294536823590203,1765294536835872919,12282716,2.160628,56966883.000000,55417216.000000,4102808.000000,32128256.000000,4016032.000000
32,1765294536835872919,1765294536853163653,17290734,1.918057,25432490.000000,25124864.000000,1626032.000000,17438208.000000,2179776.000000
33,1765294536853163653,1765294536873479370,20315717,0.000000,0.000000,0.000000,0.000000,2208768.000000,276096.000000
34,1765294536873479370,1765294536885607591,12128221,0.000000,0.000000,0.000000,0.000000,2074368.000000,259296.000000
35,1765294536885607591,1765294536901052634,15445043,0.000000,0.000000,0.000000,0.000000,1565696.000000,195712.000000
36,1765294536901052634,1765294536918311336,17258702,0.000000,0.000000,0.000000,0.000000,2975232.000000,371904.000000
37,1765294536918311336,1765294536927380014,9068678,0.000000,0.000000,0.000000,0.000000,1536512.000000,192064.000000
38,1765294536927380014,1765294536938677549,11297535,0.000000,0.000000,0.000000,0.000000,1906432.000000,238304.000000
0,1765294536938677549,1765294536953831649,15154100,0.000000,0.000000,0.000000,0.000000,3293184.000000,411648.000000
1,1765294536953831649,1765294536968211735,14380086,0.000000,0.000000,0.000000,0.000000,1653248.000000,206656.000000
2,1765294536968211735,1765294536982848589,14636854,0.000000,0.000000,0.000000,0.000000,1665536.000000,208192.000000
3,1765294536982848589,1765294537000416378,17567789,0.000000,0.000000,0.000000,0.000000,3657728.000000,457216.000000
4,1765294537000416378,1765294537019745602,19329224,0.000000,0.000000,0.000000,0.000000,3541248.000000,442656.000000
5,1765294537019745602,1765294537039219914,19474312,0.000000,0.000000,0.000000,0.000000,3529472.000000,441184.000000
6,1765294537039219914,1765294537060498796,21278882,0.000000,0.000000,0.000000,0.000000,3527680.000000,440960.000000
7,1765294537060498796,1765294537078441272,17942476,0.000000,0.000000,0.000000,0.000000,3538176.000000,442272.000000
8,1765294537078441272,1765294537087585565,9144293,0.000000,0.000000,0.000000,0.000000,2374144.000000,296768.000000
9,1765294537087585565,1765294537103611919,16026354,0.000000,0.000000,0.000000,0.000000,4280576.000000,535072.000000
10,1765294537103611919,1765294537122380696,18768777,0.000000,0.000000,0.000000,0.000000,2285824.000000,285728.000000
11,1765294537122380696,1765294537140354980,17974284,0.000000,0.000000,0.000000,0.000000,4303360.000000,537920.000000
12,1765294537140354980,1765294537159515149,19160169,0.000000,0.000000,0.000000,0.000000,6264576.000000,783072.000000
13,1765294537159515149,1765294537177416217,17901068,0.000000,0.000000,0.000000,0.000000,6231552.000000,778944.000000
14,1765294537177416217,1765294537189026775,11610558,0.000000,0.000000,0.000000,0.000000,3211520.000000,401440.000000
15,1765294537189026775,1765294537203226286,14199511,0.000000,0.000000,0.000000,0.000000,3185920.000000,398240.000000
16,1765294537203226286,1765294537221588793,18362507,0.000000,0.000000,0.000000,0.000000,6176512.000000,772064.000000
17,1765294537221588793,1765294537231527068,9938275,2.266876,56422311.000000,57152576.000000,4263412.000000,29519616.000000,3689952.000000
18,1765294537231527068,1765294537236472398,4945330,2.322681,55066743.000000,57152576.000000,4263416.000000,30881792.000000,3860224.000000
19,1765294537236472398,1765294537244274679,7802281,1.998081,37449110.000000,30490240.000000,2494212.000000,19320064.000000,2415008.000000
20,1765294537244274679,1765294537254763801,10489122,1.847776,83057728.000000,68278944.000000,5115736.000000,36654080.000000,4581760.000000
21,1765294537254763801,1765294537260651335,5887534,2.375554,11579244.000000,15535968.000000,916904.000000,8941056.000000,1117632.000000
22,1765294537260651335,1765294537265121562,4470227,1.884102,53285574.000000,41616608.000000,3346516.000000,24048640.000000,3006080.000000
23,1765294537265121562,1765294537271747143,6625581,2.699401,10189994.000000,15535968.000000,916896.000000,9016576.000000,1127072.000000
24,1765294537271747143,1765294537277137144,5390001,2.175268,46153259.000000,41616608.000000,3346524.000000,24491776.000000,3061472.000000
25,1765294537277137144,1765294537283295910,6158766,3.211993,8563878.000000,15535968.000000,916904.000000,7649536.000000,956192.000000
26,1765294537283295910,1765294537288854454,5558544,2.176378,46129833.000000,41616608.000000,3346532.000000,29374464.000000,3671808.000000
27,1765294537288854454,1765294537294881924,6027470,2.431818,50850154.000000,55117536.000000,4121944.000000,25916928.000000,3239616.000000
28,1765294537294881924,1765294537302640654,7758730,1.109404,3825945.000000,2035040.000000,141484.000000,4246784.000000,530848.000000
29,1765294537302640654,1765294537307625471,4984817,1.718805,74413808.000000,57152576.000000,4263428.000000,40975360.000000,5121920.000000
30,1765294537307625471,1765294537315347145,7721674,1.312765,97430031.000000,57152576.000000,4263424.000000,38615552.000000,4826944.000000
31,1765294537315347145,1765294537323747152,8400007,2.759696,9967444.000000,15535968.000000,916904.000000,17366016.000000,2170752.000000
32,1765294537323747152,1765294537330903388,7156236,2.059910,62091460.000000,57152576.000000,4263428.000000,28987904.000000,3623488.000000
33,1765294537330903388,1765294537336679755,5776367,1.853347,54169757.000000,41616608.000000,3346512.000000,33205248.000000,4150656.000000
34,1765294537336679755,1765294537343775958,7096203,2.947394,9332609.000000,15535968.000000,916896.000000,15145472.000000,1893184.000000
35,1765294537343775958,1765294537349419206,5643248,2.070206,48495705.000000,41616608.000000,3346536.000000,26518016.000000,3314752.000000
36,1765294537349419206,1765294537358669547,9250341,3.052420,9011499.000000,15535968.000000,916896.000000,18162176.000000,2270272.000000
37,1765294537358669547,1765294537364883673,6214126,1.937680,75317657.000000,59672608.000000,4864716.000000,34472704.000000,4309088.000000
38,1765294537364883673,1765294537373254337,8370664,1.384783,79337454.000000,54632544.000000,3662172.000000,32797952.000000,4099744.000000
39,1765294537373254337,1765294537379575151,6320814,2.243080,57021089.000000,57152576.000000,4263428.000000,40291328.000000,5036416.000000
40,1765294537379575151,1765294537385830428,6255277,2.210679,45414143.000000,41616608.000000,3346536.000000,31820800.000000,3977600.000000
41,1765294537385830428,1765294537395339009,9508581,2.062173,35424443.000000,33591968.000000,2435044.000000,27570688.000000,3446336.000000
42,1765294537395339009,1765294537401417903,6078894,2.458374,33501024.000000,39096576.000000,2745268.000000,19997184.000000,2499648.000000
43,1765294537401417903,1765294537407898940,6481037,2.165813,46354803.000000,41616608.000000,3346528.000000,32152576.000000,4019072.000000
44,1765294537407898940,1765294537415701798,7802858,2.205836,57984067.000000,57152576.000000,4263444.000000,38641664.000000,4830208.000000
45,1765294537415701798,1765294537423525743,7823945,2.597105,10591499.000000,15535968.000000,916908.000000,13759232.000000,1719904.000000
46,1765294537423525743,1765294537429359454,5833711,1.863054,68652230.000000,57152576.000000,4263428.000000,33160448.000000,4145056.000000
47,1765294537429359454,1765294537436531753,7172299,2.042718,62613884.000000,57152576.000000,4263416.000000,39214080.000000,4901760.000000
48,1765294537436531753,1765294537444804529,8272776,1.700388,26784595.000000,18056000.000000,1518140.000000,23604736.000000,2950592.000000
49,1765294537444804529,1765294537454753492,9948963,2.171846,58890971.000000,57152576.000000,4263404.000000,37018368.000000,4627296.000000
50,1765294537454753492,1765294537461815808,7062316,2.486166,33126615.000000,39096576.000000,2745276.000000,18748928.000000,2343616.000000
51,1765294537461815808,1765294537467033713,5217905,2.108348,60664773.000000,57152576.000000,4263416.000000,38810112.000000,4851264.000000
52,1765294537467033713,1765294537476265622,9231909,2.261191,56564061.000000,57152576.000000,4263404.000000,38912768.000000,4864096.000000
53,1765294537476265622,1765294537483497345,7231723,1.389959,19532772.000000,8038432.000000,904992.000000,9933056.000000,1241632.000000
54,1765294537483497345,1765294537488260883,4763538,1.271659,79229184.000000,49114144.000000,3358416.000000,31412224.000000,3926528.000000
0,1765294537488260883,1765294537495478847,7217964,1.159352,86596631.000000,41616608.000000,3346532.000000,32513024.000000,4064128.000000
1,1765294537495478847,1765294537502280267,6801420,2.303942,11939157.000000,15535968.000000,916904.000000,8697344.000000,1087168.000000
2,1765294537502280267,1765294537507062141,4781874,2.182579,58601695.000000,57152576.000000,4263428.000000,38899200.000000,4862400.000000
3,1765294537507062141,1765294537515258149,8196008,0.000000,0.000000,0.000000,0.000000,11790592.000000,1473824.000000
4,1765294537515258149,1765294537523348046,8089897,1.067295,527989.000000,223168.000000,18784.000000,4115200.000000,514400.000000
5,1765294537523348046,1765294537527292482,3944436,2.915337,27644024.000000,26093408.000000,2686388.000000,11852288.000000,1481536.000000
6,1765294537527292482,1765294537531953237,4660755,1.659475,100852861.000000,73377216.000000,5578760.000000,40497408.000000,5062176.000000
7,1765294537531953237,1765294537537502949,5549712,1.813254,57897472.000000,46973280.000000,3499428.000000,32531968.000000,4066496.000000
8,1765294537537502949,1765294537543893234,6390285,0.974289,51757229.000000,25715264.000000,1680884.000000,19704320.000000,2463040.000000
9,1765294537543893234,1765294537550821342,6928108,1.962435,51158817.000000,41616608.000000,3346528.000000,26120448.000000,3265056.000000
10,1765294537550821342,1765294537557039948,6218606,2.288895,54497707.000000,55458656.000000,4157984.000000,35614464.000000,4451808.000000
11,1765294537557039948,1765294537564076248,7036300,2.336885,13281063.000000,17229888.000000,1034544.000000,22504704.000000,2813088.000000
12,1765294537564076248,1765294537573668796,9592548,2.084644,61354525.000000,57152576.000000,4263412.000000,30907648.000000,3863456.000000
13,1765294537573668796,1765294537580141001,6472205,2.183566,53445995.000000,50889984.000000,3890096.000000,33217536.000000,4152192.000000
14,1765294537580141001,1765294537585626329,5485328,2.163941,51570193.000000,47879200.000000,3719828.000000,34609408.000000,4326176.000000
15,1765294537585626329,1765294537594089185,8462856,0.929269,66388070.000000,29019200.000000,2056412.000000,25014016.000000,3126752.000000
16,1765294537594089185,1765294537601225292,7136107,2.558941,36623589.000000,43669344.000000,3123920.000000,21632512.000000,2704064.000000
17,1765294537601225292,1765294537610363953,9138661,1.306741,97879099.000000,57152576.000000,4263420.000000,39363584.000000,4920448.000000
18,1765294537610363953,1765294537618125403,7761450,1.186754,84596876.000000,41616608.000000,3346524.000000,32317696.000000,4039712.000000
19,1765294537618125403,1765294537624500392,6374989,1.245806,58637598.000000,33591968.000000,2435036.000000,30051584.000000,3756448.000000
20,1765294537624500392,1765294537634071661,9571269,1.521000,74094260.000000,50435840.000000,3756580.000000,33268736.000000,4158592.000000
21,1765294537634071661,1765294537640037275,5965614,2.053588,34114119.000000,30277344.000000,2335212.000000,20467968.000000,2558496.000000
22,1765294537640037275,1765294537645115148,5077873,2.358044,49746147.000000,52084352.000000,3910120.000000,32375552.000000,4046944.000000
23,1765294537645115148,1765294537651015131,5899983,2.344594,16252708.000000,20604192.000000,1270200.000000,11416576.000000,1427072.000000
24,1765294537651015131,1765294537658971812,7956681,1.934370,51901042.000000,41616608.000000,3346528.000000,32399616.000000,4049952.000000
25,1765294537658971812,1765294537665296146,6324334,2.075559,60735046.000000,56261600.000000,4201972.000000,37780224.000000,4722528.000000
